Student Name,Entity,% Enr,Student Type,Race,Days Absent,Days Present,Days Possible,Percent Atnd,Ave Dly Attend,Days Excused,Days Unexc,Ave Dly Mbr,Calendar,Hisp/Lat,Current Date,Student Number,Current Grade,Guardian Name,Guardian Phone,Counselor,Counselor Email,Dean Name,Dean Email
Alexis Johnson,Penn High School,Full Time,High School,Hispanic,14,168,180,92%,95%,9,2,10,Gold/Black,Yes,09/25/2025,910340,Victory Lap,Keaton Johnson,219-555-6612,Mrs. Williams,jones@example.com,Mr. Blue,white@example.com
Kaden Willaims,Penn High School,Full Time,High School,Other,4,166,180,92%,81%,1,2,10,Gold/Black,No,09/25/2025,667244,Victory Lap,Van Brown,219-555-6716,Mrs. Williams,williams@example.com,Ms. Green,blue@example.com
Kaden DeFreitas,Penn High School,Full Time,High School,Other,9,160,180,98%,97%,6,7,10,Gold/Black,Yes,09/25/2025,490592,Senior,Elijah Anderson,219-555-4268,Ms. Jones,williams@example.com,Ms. Green,white@example.com
Lisa Anderson,Penn High School,Full Time,High School,White,10,167,180,85%,84%,2,1,10,Gold/Black,No,09/25/2025,639424,Freshman,Kaden Jones,219-555-8118,Ms. Jones,brown@example.com,Mr. Blue,blue@example.com
Emma Manukyan,Penn High School,Full Time,High School,Asian,14,179,180,99%,91%,6,6,10,Gold/Black,No,09/25/2025,284419,Sophomore,Mac Willaims,219-555-1213,Mr. Brown,jones@example.com,Mr. White,white@example.com
Katerina Garcia,Penn High School,Full Time,High School,Black,4,157,180,81%,87%,5,1,10,Gold/Black,No,09/25/2025,986468,Sophomore,Joe Wilson,219-555-2553,Mrs. Williams,jones@example.com,Ms. Green,blue@example.com
Keaton Manukyan,Penn High School,Full Time,High School,Asian,4,162,180,86%,91%,3,8,10,Gold/Black,No,09/25/2025,955192,Sophomore,Van Johnson,219-555-6173,Ms. Jones,williams@example.com,Ms. Green,green@example.com
Elijah Wilson,Penn High School,Full Time,High School,Hispanic,1,153,180,98%,99%,0,7,10,Gold/Black,Yes,09/25/2025,279969,Junior,Kyan DeFreitas,219-555-5245,Mr. Smith,jones@example.com,Mr. Blue,white@example.com
Noah Johnson,Penn High School,Full Time,High School,Hispanic,3,157,180,92%,84%,8,4,10,Gold/Black,Yes,09/25/2025,684693,Freshman,Joe Miller,219-555-2177,Mrs. Williams,jones@example.com,Ms. Red,red@example.com
Elijah Wilson,Penn High School,Full Time,High School,Black,17,167,180,88%,84%,0,3,10,Gold/Black,No,09/25/2025,420201,Junior,Alexis Brown,219-555-5799,Mr. Brown,smith@example.com,Mrs. Black,blue@example.com
Aiden Fogarty,Penn High School,Full Time,High School,Black,18,159,180,97%,99%,8,6,10,Gold/Black,Yes,09/25/2025,449080,Victory Lap,Mac Jones,219-555-3644,Ms. Johnson,smith@example.com,Ms. Green,blue@example.com
Benedict Willaims,Penn High School,Full Time,High School,White,7,150,180,92%,85%,5,2,10,Gold/Black,No,09/25/2025,455697,Junior,Keaton Miller,219-555-9570,Ms. Jones,jones@example.com,Mrs. Black,red@example.com
Benedict Wilson,Penn High School,Full Time,High School,Other,12,172,180,97%,84%,5,5,10,Gold/Black,No,09/25/2025,866040,Freshman,Katerina Miller,219-555-9544,Mrs. Williams,jones@example.com,Mrs. Black,white@example.com
Ben Willaims,Penn High School,Full Time,High School,White,9,159,180,86%,82%,7,8,10,Gold/Black,Yes,09/25/2025,773710,Freshman,Jane Willaims,219-555-8192,Mr. Smith,johson@example.com,Mr. Blue,blue@example.com
Elijah Foster,Penn High School,Full Time,High School,Other,2,164,180,88%,80%,7,2,10,Gold/Black,Yes,09/25/2025,732838,Freshman,Joe DeFreitas,219-555-3241,Mrs. Williams,smith@example.com,Mrs. Black,black@example.com
Jane Fogarty,Penn High School,Full Time,High School,White,11,162,180,88%,85%,1,1,10,Gold/Black,Yes,09/25/2025,217830,Victory Lap,Emmy Manukyan,219-555-6182,Ms. Jones,brown@example.com,Mrs. Black,blue@example.com
Emma Wilson,Penn High School,Full Time,High School,Asian,18,171,180,82%,82%,5,7,10,Gold/Black,Yes,09/25/2025,555707,Sophomore,Jane Miller,219-555-9892,Mrs. Williams,brown@example.com,Ms. Red,red@example.com
Mac Davis,Penn High School,Full Time,High School,Black,6,173,180,90%,81%,9,0,10,Gold/Black,Yes,09/25/2025,745918,Victory Lap,Kaden DeFreitas,219-555-2431,Ms. Johnson,jones@example.com,Mr. Blue,red@example.com
Van Fogarty,Penn High School,Full Time,High School,Black,5,164,180,89%,82%,2,5,10,Gold/Black,Yes,09/25/2025,277910,Junior,Aiden Anderson,219-555-4667,Ms. Jones,jones@example.com,Ms. Red,green@example.com
Marge Davis,Penn High School,Full Time,High School,Hispanic,14,161,180,90%,83%,8,5,10,Gold/Black,No,09/25/2025,934445,Sophomore,Benedict DeFreitas,219-555-2589,Mr. Smith,smith@example.com,Ms. Green,blue@example.com
Benedict Foster,Penn High School,Full Time,High School,Black,17,175,180,84%,84%,2,6,10,Gold/Black,No,09/25/2025,173973,Freshman,Mac Johnson,219-555-3531,Ms. Jones,jones@example.com,Mr. White,white@example.com
Kyan DeFreitas,Penn High School,Full Time,High School,Other,6,167,180,98%,86%,4,9,10,Gold/Black,No,09/25/2025,510892,Freshman,Andrew DeFreitas,219-555-9376,Mr. Brown,brown@example.com,Ms. Red,blue@example.com
Keaton Johnson,Penn High School,Full Time,High School,White,13,165,180,84%,85%,8,3,10,Gold/Black,Yes,09/25/2025,198460,Victory Lap,Jill Manukyan,219-555-2374,Ms. Johnson,williams@example.com,Mr. Blue,green@example.com
Ben Johnson,Penn High School,Full Time,High School,Black,7,177,180,84%,83%,4,2,10,Gold/Black,Yes,09/25/2025,422788,Freshman,Marge Davis,219-555-1169,Mrs. Williams,jones@example.com,Ms. Green,white@example.com
Eliana Smith,Penn High School,Full Time,High School,Black,9,163,180,99%,99%,0,0,10,Gold/Black,Yes,09/25/2025,991439,Sophomore,Alexis Wilson,219-555-8056,Ms. Jones,johson@example.com,Mr. Blue,green@example.com
Jill Willaims,Penn High School,Full Time,High School,Hispanic,4,157,180,80%,91%,1,4,10,Gold/Black,No,09/25/2025,863925,Victory Lap,Lisa Smith,219-555-5984,Mrs. Williams,jones@example.com,Mr. White,red@example.com
Alexis Foster,Penn High School,Full Time,High School,Other,17,167,180,97%,81%,8,4,10,Gold/Black,Yes,09/25/2025,775650,Freshman,Andrew Johnson,219-555-3505,Mr. Smith,jones@example.com,Ms. Red,green@example.com
Lisa Miller,Penn High School,Full Time,High School,Asian,3,150,180,85%,96%,1,5,10,Gold/Black,Yes,09/25/2025,181343,Victory Lap,Rachel Fogarty,219-555-2705,Mrs. Williams,smith@example.com,Ms. Red,blue@example.com
Lucian Moore,Penn High School,Full Time,High School,White,15,164,180,92%,94%,3,0,10,Gold/Black,Yes,09/25/2025,548475,Victory Lap,Mac Anderson,219-555-4529,Mr. Brown,johson@example.com,Ms. Green,black@example.com
