Name,Age,GPA,Credits Completed,Year,Pathway
Benedict Anderson,16,2.73,21,Victory Lap,Business
Ben Willaims,16,3.06,59,Freshman,Business
Alexis Moore,16,0.53,22,Sophomore,Early Childhood Education
Eliana Davis,17,2.41,39,Junior,Marketing
Emma Manukyan,19,1.58,10,Senior,Bio Med
Jane Fogarty,19,3.05,43,Victory Lap,Business
Kyan Jones,15,1.47,28,Senior,Computer Science
Jane DeFreitas,17,3.38,51,Freshman,Engineering
Lisa Miller,19,1.68,0,Senior,Construction
Mac Fogarty,17,0.45,51,Sophomore,Marketing
Roman Miller,18,1.38,45,Freshman,Construction
Jill Smith,16,3.31,53,Freshman,Computer Science
Lisa Garcia,17,0.68,59,Victory Lap,Marketing
Noah Manukyan,16,3.97,15,Junior,Culinary
Eliana Moore,17,0.67,41,Junior,Early Childhood Education
Alexis Wilson,17,3.57,60,Junior,Construction
Eliana Smith,19,0.86,25,Victory Lap,Early College
Mac Moore,18,0.56,42,Freshman,Marketing
Mac Anderson,14,1.29,39,Freshman,Business
Elijah Foster,18,2.16,29,Sophomore,Early College
Aiden Wilson,18,3.55,55,Freshman,Marketing
Benedict Foster,15,0.88,12,Freshman,Early Childhood Education
Andrew Moore,18,3.62,8,Junior,Business
Lucian Davis,17,3.93,19,Junior,Engineering
Benedict Anderson,18,1.72,44,Senior,Engineering
Lisa Manukyan,17,2.24,26,Freshman,Marketing
Eliana Willaims,17,1.07,30,Freshman,Marketing
Rachel Johnson,18,1.31,30,Freshman,Construction
Noah Wilson,16,0.31,50,Freshman,Computer Science
Andrew Davis,16,2.44,36,Senior,Construction
Ben Foster,15,3.81,41,Sophomore,Criminal Justice
Rachel Foster,14,2.55,23,Junior,Computer Science
Ben Manukyan,18,1.26,60,Victory Lap,Business
Joe Brown,18,2.55,21,Freshman,Computer Science
Eliana Anderson,14,3.25,30,Victory Lap,Bio Med
Kyan Wilson,19,3.52,22,Sophomore,Construction
Lisa Moore,15,3.01,54,Freshman,Bio Med
Andrew Foster,19,2.11,26,Freshman,Construction
Jane Moore,16,3.85,11,Junior,Construction
Alexis Manukyan,14,0.74,30,Victory Lap,Bio Med
Emma Johnson,18,1.96,11,Senior,Criminal Justice
Kaden Willaims,15,1.64,35,Junior,Culinary
Keaton Anderson,17,1.78,45,Senior,Marketing
Jane Fogarty,17,2.78,3,Victory Lap,Engineering
Joe Anderson,16,2.44,46,Senior,Construction
