Name,Age,GPA,Credits Completed,Year,Pathway
Aiden DeFreitas,19,3.85,30,Victory Lap,Business
Rachel Anderson,16,2.74,44,Junior,Construction
Kyan Smith,15,2.34,60,Freshman,Business
Keaton Anderson,15,1.15,41,Sophomore,Computer Science
Noah Manukyan,16,2.53,23,Junior,Criminal Justice
Marge Foster,19,2.51,20,Senior,Criminal Justice
Lucian Smith,15,1.99,35,Freshman,Construction
Andrew Anderson,19,2.33,25,Freshman,Early College
Lisa Manukyan,14,1.55,59,Senior,Construction
Lucian Anderson,19,2.76,54,Junior,Criminal Justice
Elijah DeFreitas,15,2.51,22,Victory Lap,Criminal Justice
Alexis Wilson,15,2.45,32,Sophomore,Engineering
Ben Willaims,14,2.17,19,Freshman,Early Childhood Education
Kaden Moore,18,0.6,11,Victory Lap,Culinary
Noah Anderson,17,2.23,53,Victory Lap,Early Childhood Education
Keaton Garcia,17,3.33,22,Senior,Culinary
Jane Foster,14,3.37,45,Sophomore,Construction
Ben Johnson,15,2.55,24,Junior,Marketing
Lucian Moore,18,1.24,40,Freshman,Engineering
Rachel Garcia,18,0.98,16,Freshman,Bio Med
Noah Wilson,16,3.48,9,Freshman,Construction
Aiden Johnson,15,4.24,42,Senior,Early College
Andrew Manukyan,16,1.72,47,Junior,Engineering
Lisa Johnson,17,0.66,13,Sophomore,Marketing
Joe Brown,15,1.09,58,Victory Lap,Early College
Joe Foster,17,0.49,48,Sophomore,Construction
Andrew Foster,15,3.94,29,Sophomore,Marketing
Andrew Garcia,15,1.37,15,Senior,Culinary
Van Garcia,19,3.61,29,Junior,Bio Med
Benedict Brown,18,3.13,37,Sophomore,Engineering
Ben Smith,16,1.64,11,Junior,Early Childhood Education
Elijah Jones,15,1.11,20,Sophomore,Marketing
Andrew Moore,14,3.82,38,Freshman,Construction
Kaden Brown,17,3.39,56,Victory Lap,Early Childhood Education
Keaton Brown,19,2.98,18,Senior,Culinary
Roman Garcia,17,0.96,56,Sophomore,Criminal Justice
Aiden Davis,18,2.51,30,Junior,Early College
Ben Manukyan,19,3.33,52,Freshman,Computer Science
Lisa Wilson,15,3.72,42,Junior,Early Childhood Education
Alexis Davis,15,3.24,13,Senior,Early College
Mac Fogarty,16,3.8,29,Freshman,Computer Science
Roman DeFreitas,19,3.05,1,Victory Lap,Business
Mac Willaims,18,4.21,9,Junior,Business
Marge Moore,16,1.62,56,Senior,Engineering
Elijah Brown,16,4.26,38,Freshman,Early College
Jane Garcia,14,0.63,12,Sophomore,Early College
Benedict Foster,16,3.31,11,Sophomore,Marketing
Jill Willaims,17,3.02,27,Freshman,Marketing
Keaton Davis,18,2.81,24,Sophomore,Early College
Kaden Foster,17,3.53,24,Victory Lap,Engineering
Eliana Davis,14,4.21,57,Freshman,Construction
Jill Miller,14,2.08,54,Junior,Construction
Eliana Fogarty,14,1.78,47,Freshman,Construction
Lucian Willaims,19,1.17,32,Sophomore,Business
Kaden Wilson,15,0.38,59,Victory Lap,Criminal Justice
Keaton Johnson,16,2.0,39,Freshman,Marketing
Eliana Brown,16,2.87,32,Victory Lap,Bio Med
Kaden Davis,16,1.07,18,Junior,Early Childhood Education
Ben Davis,17,1.16,35,Victory Lap,Business
Emmy Brown,18,2.73,1,Victory Lap,Engineering
Noah Garcia,18,3.51,52,Freshman,Bio Med
Katerina DeFreitas,17,2.8,35,Sophomore,Engineering
Alexis Willaims,18,2.57,32,Junior,Bio Med
Roman Foster,14,0.76,30,Senior,Early College
Marge Anderson,17,3.4,26,Victory Lap,Business
Elijah Jones,15,1.83,32,Victory Lap,Construction
Roman Miller,16,1.06,43,Freshman,Business
Rachel Moore,14,4.2,49,Senior,Early Childhood Education
Alexis DeFreitas,19,0.47,12,Victory Lap,Bio Med
Aiden Miller,14,2.26,42,Sophomore,Criminal Justice
Noah Jones,16,2.89,52,Sophomore,Engineering
Emmy DeFreitas,18,3.47,15,Freshman,Early College
Emmy Brown,14,0.76,30,Junior,Computer Science
Ben Jones,19,0.76,6,Junior,Early Childhood Education
Noah Miller,14,1.54,33,Junior,Bio Med
Marge Moore,15,3.98,43,Junior,Engineering
Ben Foster,14,2.5,50,Freshman,Business
Joe Garcia,16,0.77,49,Senior,Business
Rachel Jones,16,1.18,37,Victory Lap,Engineering
Jill Anderson,18,3.63,0,Freshman,Marketing
Mac Wilson,19,0.77,3,Victory Lap,Bio Med
Jane Davis,18,0.57,55,Junior,Early College
Roman Garcia,15,3.24,48,Senior,Computer Science
Jill Willaims,15,1.85,50,Sophomore,Early College
Noah Foster,15,2.93,38,Victory Lap,Business
Benedict Smith,17,3.38,28,Sophomore,Construction
Marge Foster,18,1.44,11,Senior,Bio Med
Alexis Manukyan,18,1.46,47,Junior,Bio Med
Jane Davis,17,1.15,53,Sophomore,Marketing
Aiden Anderson,18,4.08,43,Senior,Engineering
Aiden Moore,16,3.65,36,Victory Lap,Early Childhood Education
Katerina Davis,14,3.53,25,Sophomore,Computer Science
Joe Fogarty,15,3.7,42,Junior,Early College
Noah Brown,15,2.7,23,Victory Lap,Construction
Benedict Miller,19,3.16,25,Senior,Business
Elijah Manukyan,14,1.28,7,Junior,Criminal Justice
Emmy Johnson,14,3.88,51,Victory Lap,Bio Med
Alexis DeFreitas,18,1.2,53,Sophomore,Early College
Andrew Garcia,16,0.93,42,Victory Lap,Engineering
Emmy Brown,15,2.07,4,Junior,Business
Alexis Brown,17,2.92,26,Victory Lap,Marketing
Van Jones,16,4.1,48,Victory Lap,Criminal Justice
Keaton Fogarty,18,3.39,31,Senior,Computer Science
Kaden Miller,16,3.55,23,Junior,Business
Noah Wilson,17,1.23,13,Victory Lap,Early Childhood Education
Danielle Willaims,15,3.71,29,Senior,Early Childhood Education
Keaton DeFreitas,15,3.58,12,Senior,Construction
Katerina Wilson,16,0.71,5,Junior,Business
Benedict DeFreitas,15,3.94,33,Victory Lap,Computer Science
Eliana Garcia,18,1.88,3,Freshman,Computer Science
Benedict Anderson,14,1.56,5,Senior,Criminal Justice
Joe Willaims,15,0.79,28,Senior,Construction
Ben Manukyan,17,1.66,6,Victory Lap,Early Childhood Education
Lisa Brown,16,0.53,6,Freshman,Early College
Danielle Miller,15,2.6,44,Sophomore,Marketing
Kaden Foster,16,4.27,58,Victory Lap,Marketing
Noah Manukyan,19,3.55,36,Freshman,Construction
Kyan Johnson,16,2.23,15,Victory Lap,Business
Lucian Miller,16,3.8,37,Senior,Engineering
Kyan DeFreitas,15,4.18,25,Freshman,Marketing
Katerina DeFreitas,15,1.94,57,Senior,Early College
Mac Foster,18,2.6,44,Junior,Marketing
Benedict Moore,17,4.24,13,Senior,Early College
Elijah Smith,15,2.05,48,Sophomore,Construction
Danielle Johnson,16,0.97,39,Freshman,Criminal Justice
Alexis Johnson,19,4.07,2,Senior,Criminal Justice
Andrew Anderson,18,2.46,36,Senior,Culinary
Danielle Garcia,15,1.03,42,Victory Lap,Criminal Justice
Rachel Smith,16,0.62,1,Victory Lap,Early College
Marge Fogarty,16,3.34,44,Sophomore,Early Childhood Education
Noah Willaims,15,0.62,32,Freshman,Business
Andrew Moore,17,3.46,36,Freshman,Culinary
Lucian Garcia,19,0.52,47,Victory Lap,Business
Benedict Moore,17,1.52,40,Sophomore,Construction
Van Garcia,15,4.23,5,Sophomore,Early Childhood Education
Andrew Fogarty,17,2.57,33,Senior,Computer Science
Emmy Moore,16,1.61,43,Freshman,Marketing
Rachel Fogarty,14,1.0,55,Victory Lap,Bio Med
Alexis Fogarty,15,2.31,45,Freshman,Early College
Joe Moore,16,3.39,15,Junior,Computer Science
Katerina Manukyan,18,0.57,31,Freshman,Construction
Katerina Davis,18,1.31,19,Freshman,Criminal Justice
Van Moore,15,2.29,19,Sophomore,Computer Science
Marge Manukyan,19,1.21,23,Victory Lap,Business
Lucian Brown,17,3.47,25,Sophomore,Marketing
Van Manukyan,19,1.27,5,Sophomore,Criminal Justice
Elijah DeFreitas,16,1.04,0,Freshman,Business
Joe Fogarty,14,1.23,49,Freshman,Engineering
Joe Anderson,14,3.44,38,Junior,Early Childhood Education
Kyan Johnson,16,3.79,29,Victory Lap,Computer Science
Rachel Foster,14,3.78,37,Victory Lap,Early College
Mac Anderson,14,1.57,8,Senior,Engineering
Jill Manukyan,17,2.56,0,Junior,Construction
Danielle Garcia,15,2.51,3,Freshman,Early Childhood Education
Joe Johnson,17,1.85,33,Sophomore,Business
