Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Manny Hernandez,17,4.01,2,5,Marketing,Sophomore
Manny Garcia,19,4.17,1,46,Culinary,Sophomore
Nate Brown,18,2.04,1,26,Culinary,Senior
Azria Miller,14,3.2,1,59,Early College,Freshman
Abby Moore,14,1.88,3,32,Early Childhood Education,Junior
Emm Wilson,19,0.46,0,36,Early College,Junior
Abby Lopez,14,2.78,3,58,Computer Science,Freshman
Cal Taylor,18,4.18,0,40,Bio Med,Sophomore
Gavin Anderson,17,1.38,0,53,Culinary,Senior
Avery Anderson,18,2.22,3,17,Engineering,Freshman
Azria Martinez,14,4.15,3,10,Business,Sophomore
Alice Williams,14,1.51,0,56,Business,Freshman
Nate Brown,18,3.72,1,44,Marketing,Freshman
Kelsey Thomas,14,3.85,3,40,Engineering,Senior
Joe Jackson,18,1.82,2,49,Early College,Junior
Abby Thomas,16,4.37,3,5,Computer Science,Junior
Azria Lopez,19,2.72,3,7,Engineering,Senior
Cal Thomas,16,0.84,3,23,Early Childhood Education,Freshman
Dutch Wilson,16,3.55,3,23,Early Childhood Education,Senior
Nate Garcia,19,1.88,1,43,Early Childhood Education,Senior
Manny Brown,17,2.01,0,47,Culinary,Freshman
Joe Hernandez,16,2.28,0,8,Business,Sophomore
Emm Gonzalez,15,0.33,2,56,Computer Science,Junior
Emm Taylor,15,2.09,0,28,Early Childhood Education,Freshman
Emm Martinez,19,3.7,2,39,Computer Science,Senior
Emm Miller,17,2.97,3,27,Marketing,Junior
Josh Thomas,15,3.79,2,7,Early Childhood Education,Sophomore
Sam Jones,18,4.11,0,58,Bio Med,Senior
Nate Anderson,14,1.84,0,8,Bio Med,Senior
Azria Moore,18,2.85,0,42,Computer Science,Junior
Dutch Miller,16,3.01,3,11,Bio Med,Sophomore
Azria Hernandez,15,2.88,0,56,Business,Sophomore
Emm Johnson,19,1.68,0,56,Early College,Freshman
Abby Thomas,16,1.65,0,42,Marketing,Freshman
Emm Davis,19,1.13,2,48,Marketing,Freshman
Nate Jackson,14,3.37,1,35,Bio Med,Sophomore
Abby Taylor,14,3.88,2,5,Computer Science,Senior
Avery Moore,18,4.2,0,43,Early College,Senior
Josh Lopez,14,2.61,1,32,Culinary,Sophomore
Vihaan Williams,18,3.19,2,41,Business,Freshman
Azria Gonzalez,14,3.1,2,11,Early College,Senior
Dutch Hernandez,15,4.23,3,4,Culinary,Sophomore
Nate Jackson,19,1.37,1,30,Early College,Freshman
Vihaan Miller,16,0.39,1,56,Engineering,Senior
Manny Rodriguez,15,4.1,1,3,Early Childhood Education,Freshman
Nate Jackson,17,3.34,0,46,Early College,Sophomore
Kelsey Wilson,19,3.06,0,17,Business,Junior
Gavin Smith,18,3.75,0,24,Construction,Freshman
Josh Martinez,16,4.14,1,54,Criminal Justice,Junior
Joe Anderson,19,0.81,2,54,Criminal Justice,Junior
Cal Taylor,17,1.81,3,0,Computer Science,Sophomore
Kelsey Rodriguez,16,0.49,1,28,Computer Science,Freshman
