Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Gavin Thomas,19,3.66,2,20,Early College,Sophomore
Josh Wilson,18,2.98,0,26,Culinary,Junior
Joe Jackson,16,1.93,0,23,Business,Senior
Emm Brown,15,0.83,2,20,Early College,Freshman
Sujay Brown,14,1.05,0,31,Early College,Junior
Kelsey Thomas,16,0.36,0,14,Construction,Junior
Cal Jackson,17,4.03,1,22,Marketing,Junior
Nate Anderson,16,4.0,2,19,Marketing,Junior
avery Jackson,15,3.88,3,12,Construction,Junior
Kelsey Anderson,17,3.05,2,37,Early Childhood Education,Senior
Manny Taylor,19,2.13,1,7,Culinary,Senior
Kelsey Jones,19,2.9,3,55,Marketing,Junior
Azria Martinez,19,3.78,3,13,Construction,Sophomore
Dutch Jones,14,1.29,0,48,Early College,Senior
Abby Jones,14,2.27,2,25,Engineering,Freshman
Joe Brown,17,3.31,3,13,Construction,Senior
avery Rodriguez,19,0.78,0,19,Computer Science,Junior
Josh Hernandez,17,3.7,0,50,Engineering,Freshman
Joe Miller,18,0.6,1,48,Culinary,Sophomore
Nate Gonzalez,15,3.68,0,41,Early College,Sophomore
Sujay Johnson,18,3.04,0,53,Early College,Junior
Manny Garcia,16,1.66,0,47,Marketing,Freshman
Josh Williams,19,4.31,3,32,Business,Junior
Nate Lopez,17,0.8,1,50,Early Childhood Education,Junior
Azria Johnson,15,3.54,2,16,Bio Med,Junior
Dutch Hernandez,17,2.72,1,0,Construction,Sophomore
Alice Gonzalez,17,1.51,2,36,Early College,Freshman
Emm Williams,19,1.08,2,11,Criminal Justice,Freshman
Alice Thomas,19,2.17,3,27,Early Childhood Education,Sophomore
Josh Anderson,19,3.59,0,30,Early Childhood Education,Sophomore
Kelsey Jones,14,2.3,0,31,Computer Science,Sophomore
Vihaan Miller,14,1.56,3,38,Early Childhood Education,Senior
Sam Martinez,15,0.74,0,50,Business,Sophomore
Vihaan Hernandez,17,1.43,3,41,Business,Sophomore
Azria Lopez,16,2.59,1,58,Construction,Junior
Alice Martinez,14,1.77,0,4,Bio Med,Senior
Joe Rodriguez,18,1.97,0,41,Early Childhood Education,Senior
Vihaan Rodriguez,14,1.64,0,43,Engineering,Junior
Sujay Martinez,14,3.43,1,17,Criminal Justice,Freshman
avery Williams,16,2.04,3,51,Early Childhood Education,Junior
Azria Taylor,15,1.21,1,33,Engineering,Sophomore
Dutch Thomas,15,4.07,3,9,Marketing,Junior
Sujay Thomas,18,0.71,1,43,Engineering,Sophomore
